J0002+6216,0.74238,62.26928
J0006+1834,1.52000,18.58306
J0007+7303,1.75708,73.05206
J0011+08,2.89167,8.16667
B0011+47,3.57396,47.77594
J0023+0923,5.82033,9.38996
J0024-7204aa,6.02363,-72.08128
J0024-7204ab,6.03402,-72.07989
B0021-72C,5.95980,-72.07541
B0021-72D,6.05783,-72.07884
B0021-72E,6.04627,-72.08893
B0021-72F,6.01606,-72.07856
B0021-72G,6.03316,-72.07769
B0021-72H,6.02792,-72.06855
B0021-72I,6.03305,-72.07769
B0021-72J,5.99753,-72.06633
B0021-72L,6.01571,-72.08248
B0021-72M,5.97703,-72.09187
B0021-72N,6.03828,-72.07469
J0024-7204O,6.01938,-72.08160
J0024-7204P,6.08333,-72.06944
J0024-7204Q,6.06870,-72.07365
J0024-7204R,6.02363,-72.08128
J0024-7204S,6.01657,-72.07843
J0024-7204T,6.03562,-72.07748
J0024-7204U,6.04098,-72.06658
J0024-7204V,6.02363,-72.08128
J0024-7204W,6.02524,-72.08030
J0024-7204X,6.09327,-72.02151
J0024-7204Y,6.02363,-72.08128
J0024-7204Z,6.02363,-72.08128
J0026+6320,6.71067,63.33357
J0030+0451,7.61428,4.86103
J0033+57,8.25000,57.00000
J0033+61,8.25000,61.00000
J0034-0534,8.59098,-5.57687
B0031-07,8.53696,-7.36484
J0034+69,8.50000,69.71667
B0037+56,10.13484,57.27359
J0045-7042,11.35704,-70.70197
J0045-7319,11.39650,-73.31750
B0045+33,12.14160,34.20223
J0050+03,12.62917,3.80000
J0051+0423,12.87542,4.38028
J0053+69,13.25000,69.65000
J0054+66,13.50000,66.00000
J0054+69,13.61667,69.43333
B0052+51,13.93908,51.29027
B0053+47,14.10630,47.93626
J0057-7201,14.43333,-72.02194
J0058+6125,14.50000,61.41667
J0059+50,14.75000,50.03333
J0100-7211,15.17929,-72.19267
J0101-6422,15.29632,-64.37505
J0102+4839,15.75000,48.00000
B0059+65,15.63733,65.62039
J0103+54,15.90417,54.03333
J0106+4855,16.60442,48.93106
J0108-1431,17.03478,-14.53061
B0105+65,17.09436,66.14277
B0105+68,17.12293,69.09795
J0111-7131,17.86988,-71.52967
J0112+66,18.00000,66.36667
J0113-7220,18.29621,-72.34228
B0114+58,19.41109,59.24400
J0125+62,21.50000,62.58333
J0131-7310,22.86879,-73.16926
J0133-6957,23.38525,-69.95824
J0134-2937,23.57784,-29.62140
J0136+63,24.00000,63.70000
J0137+1654,24.34950,16.91169
J0139+5621,24.91067,56.36022
B0136+57,24.83225,58.24217
B0138+59,25.41641,60.15897
J0141+63,25.25000,63.13333
J0146+31,26.56250,31.06667
J0146+6145,26.59342,61.75078
B0144+59,26.93602,59.36758
B0148-06,27.84459,-6.58411
J0152+0948,28.09887,9.80278
B0149-16,28.04522,-16.63139
J0156+04,29.00417,4.03333
B0153+39,29.23019,39.82459
B0154+61,29.45806,62.20720
J0158+21,29.62083,21.13333
J0201+7005,30.42227,70.08836
J0205+6449,31.40801,64.82815
B0203-40,31.50528,-40.46787
J0211-8159,32.99583,-81.99339
J0212+5222,33.21750,52.37917
J0214+5222,33.73030,52.37804
J0215+6218,33.98595,62.30927
J0218+4232,34.52649,42.53816
J0220+36,35.20833,36.36667
J0229+20,37.26250,20.96667
B0226+70,37.80832,70.44275
J0241+16,40.44167,16.06667
J0242+62,40.64583,62.94722
J0243+6027,40.75000,60.45000
J0244+14,41.21250,14.45000
J0248+6021,42.07757,60.35964
J0251+26,42.78333,26.08333
B0254-53,43.98425,-53.07260
J0303+22,45.75000,22.80000
B0301+19,46.13798,19.54761
J0308+74,47.00000,74.00000
B0320+39,50.86091,39.74803
J0324+5239,51.23108,52.65869
J0325+67,51.50000,67.81667
J0329+1654,52.28563,16.90056
B0329+54,53.24737,54.57877
J0332+79,53.18750,79.16667
B0331+45,53.81936,45.93152
J0337+1715,54.43261,17.25412
J0338+66,54.75000,66.73333
J0340+4130,55.09703,41.51258
J0341+5711,55.25000,57.18333
J0343-3000,55.86642,-30.00764
B0339+53,55.80379,53.21484
J0348+0432,57.18183,4.53652
J0357+3205,59.46875,32.09028
B0353+52,59.43673,52.61603
J0358+42,59.50000,42.10000
B0355+54,59.72385,54.22050
J0358+66,59.50000,66.66667
J0359+5414,59.85837,54.24881
B0403-76,60.46533,-76.13717
B0402+61,61.62534,61.64473
J0407+1607,61.97891,16.12122
J0408+551,62.00000,55.00000
J0408+552,62.00000,55.00000
J0410-31,62.66250,-31.12472
J0413+58,63.25000,58.00000
B0410+69,63.98189,69.90275
J0417+35,64.42917,35.75000
J0417+61,64.25000,61.13333
J0418-4154,64.51750,-41.90300
J0418+5732,64.64111,57.53970
J0419+44,64.75000,44.00000
J0420-5022,65.00813,-50.38003
J0421-0345,65.38982,-3.75184
J0421+32,65.37500,32.66667
J0426+4933,66.52839,49.56068
J0435+27,68.89167,27.73333
J0437-4715,69.31623,-47.25253
J0447-04,71.75000,-4.58333
J0448-2749,72.17320,-27.82965
J0449-7031,72.27362,-70.52547
B0447-12,72.53659,-12.80197
J0451-67,72.95833,-67.30000
B0450-18,73.14211,-17.98983
J0453+1559,73.43922,15.98925
B0450+55,73.53229,55.72818
B0456-69,73.94812,-69.85953
J0456-69,74.12500,-69.16667
J0456-7031,74.01042,-70.51850
J0457+23,74.27500,23.56667
J0457-6337,74.28246,-63.62511
J0457-69,74.25833,-69.76667
J0458-0505,74.65467,-5.08475
J0458-67,74.74583,-67.71667
J0459-0210,74.96642,-2.16851
J0501+4516,75.27817,45.27609
B0458+46,75.51900,46.90169
B0502-66,75.71054,-66.29967
J0509+08,77.35000,8.95000
J0510+38,77.49583,38.20000
J0511-6508,77.98542,-65.14347
